Venue,Before_Image_URL,After_Image_Path,Reason,New_Source,New_SHA256
"MASA TURKISH RESTAURANT","https://images.unsplash.com/photo-1585937421612-70a008356fbe?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","/images/restaurants/masa-turkish-restaurant-KJX5TS38/moderneuropean-masa-turkish-restaurant-card-9bf1b819.webp","unsplash","google_places","c3ea6ec109acbe3edbf47995d97d95e3e2659a92dbd4c0c3fd466ab3ebd4daeb"
"ANA Turkish Restaurant and Bar","https://images.unsplash.com/photo-1551218808-93d42e57582b?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","/images/restaurants/ana-turkish-restaurant-and-bar-eHZ3zxSU/british-ana-turkish-restaurant-and-bar-card-7abc39ea.webp","unsplash","google_places","99300ac099032666619c4343af2faa506a487995b1ff5592efcae528f50c90dd"
"Gökyüzü Green Lanes","https://images.unsplash.com/photo-1563379091339-03246963d4d8?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","/images/restaurants/gkyz-green-lanes-y26cz5pA/moderneuropean-gkyz-green-lanes-card-db281a6a.webp","unsplash","google_places","168fc257dbcb711b9b7262689dd070c7031f3e3503614f5b205960615fa53392"
"Efes Premium","https://images.unsplash.com/photo-1551782450-a2132b4ba21d?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","/images/restaurants/efes-premium-kWL5j4TM/turkish-efes-premium-card-f65af0d3.webp","unsplash","google_places","c03fd6724d1d57f4c79f3f732fa42ea1feb24f7732ffc26917afe1d7a19eec1b"
"The Mantl","https://images.unsplash.com/photo-1548940740-204726a115ae?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","/images/restaurants/the-mantl-GzBtMI-k/turkish-the-mantl-card-12494a3a.webp","unsplash","google_places","82a938a0880509628115953ee6b95426e6cec57fcccb8b26807c508c982036b5"
"Cirrik 19 Numara Bos","https://images.unsplash.com/photo-1504674900247-087700f998c5?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","/images/restaurants/cirrik-19-numara-bos-aBzE5bwY/turkish-cirrik-19-numara-bos-card-dac30427.webp","unsplash","google_places","14161eeb7dba03ceba47e52ac0066b7768811db0ce022537dad64dedbb258e89"
"Liman Restaurant","https://images.unsplash.com/photo-1574071318508-1cdbab80d002?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","/images/restaurants/liman-restaurant-GtZA40HM/turkish-liman-restaurant-card-400fc168.webp","unsplash","google_places","aa55e927c117424da8397f49268df1a0d597a75ef08dc2057a24e707b5bc09c7"
"Antalya","https://images.unsplash.com/photo-1565299585323-38174c4aab98?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","/images/restaurants/antalya-bGIr-qxs/turkish-antalya-card-2d692a59.webp","unsplash","google_places","e293a1a8f380b74f98a1a3d7193d18e8f4b5b0bfcb8f949feb67b31979186971"
"Dem Restaurant (Traditional Turkish Restaurant, Meze Grill)","https://images.unsplash.com/photo-1551218808-93d42e57582b?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","/images/restaurants/dem-restaurant-traditional-turkish-restaurant-meze-grill-AY1XXrlM/moderneuropean-dem-restaurant-traditional-turkish-restaurant-meze-grill-card-d3ab89c3.webp","unsplash","google_places","73ffd059d26bdc209e962a9882ceccec0cbd13560918ed68bac7caa7d0384de2"
"Alanya turkish with fusion","https://images.unsplash.com/photo-1565299507177-b0ac66763828?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","/images/restaurants/alanya-turkish-with-fusion-kallxaYU/moderneuropean-alanya-turkish-with-fusion-card-4dd17ef9.webp","unsplash","google_places","1b9308c3f8eb2d62a2151375d3886ff6e63e611c731a55eab778ddf2b48ff343"
"Fes Restaurant","https://images.unsplash.com/photo-1551782450-a2132b4ba21d?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","/images/restaurants/fes-restaurant-3kGU0KS4/turkish-fes-restaurant-card-ca8a9eeb.webp","unsplash","google_places","f24ae3fc9a15cad5f72694f2bfa775c179af00422805388f66639de57fa67ab1"
"Brasserie Zedel","https://images.unsplash.com/photo-1571091718767-18b5b1457add?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","/images/restaurants/brasserie-zedel-Qt3pySRI/moderneuropean-brasserie-zedel-card-be00b50a.webp","unsplash","google_places","01d7ee96c9231ce9c1d933454a094d92b23a060ae8486a14abcd0ef69e247306"
"Bouchon Racine","https://images.unsplash.com/photo-1571091718767-18b5b1457add?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","/images/restaurants/bouchon-racine-GC0DA5VM/french-bouchon-racine-card-adbe2561.webp","unsplash","google_places","71ef38e45bfda15fdb5141f229dadbf6bdec11c6c3c45c3a9d1f51f314c9c733"
"Le Relais de Venise L'Entrecote | Marylebone","https://images.unsplash.com/photo-1585937421612-70a008356fbe?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","/images/restaurants/le-relais-de-venise-lentrecote-marylebone-qxBm5ddA/french-le-relais-de-venise-lentrecote-marylebone-card-758be938.webp","unsplash","google_places","e74c1f4c931f1ed7e0b026c21dc71d7156993262114a273111c751c50e4d0e2c"
"L'Escargot Restaurant","https://images.unsplash.com/photo-1519671482749-fd09be7c511a?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","/images/restaurants/lescargot-restaurant-DRcOlpog/french-lescargot-restaurant-card-534ef00e.webp","unsplash","google_places","9899c7808b03e769e2521b6d4ad14b8819b3aa03f88eca50334276e26f33b8c9"
"Galvin La Chapelle","https://images.unsplash.com/photo-1551218808-93d42e57582b?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","/images/restaurants/galvin-la-chapelle-RDHmB8RA/french-galvin-la-chapelle-card-a9a51247.webp","unsplash","google_places","7513500473a89d42c6bae54eeea776d0516fced4b6203924619df71ab4892d3b"
"Chez Bruce","https://images.unsplash.com/photo-1565299507177-b0ac66763828?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","/images/restaurants/chez-bruce-gOPPr5VY/french-chez-bruce-card-d46da622.webp","unsplash","google_places","1021e5da62e023eaae5af2aedb47bd15e93375da8354b0a8b7098e1d4e07aeb6"
"Maison François","https://images.unsplash.com/photo-1571091718767-18b5b1457add?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","/images/restaurants/maison-franois-E2yC1YJY/french-maison-franois-card-1b05c891.webp","unsplash","google_places","637d96d2a8b3e6cc10c3acec3be4861fedec286518ae33e850e6c87e894ae44d"
"Casse-Croûte","https://images.unsplash.com/photo-1585937421612-70a008356fbe?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","/images/restaurants/casse-crote-C9yowifE/french-casse-crote-card-403b0433.webp","unsplash","google_places","7c90e66da031862e7f82cb16902577067f8f09402d0ed1c2d844c904a75bfd8b"
"Clos Maggiore","https://images.unsplash.com/photo-1519671482749-fd09be7c511a?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","/images/restaurants/clos-maggiore-KheUNnC4/french-clos-maggiore-card-57a96806.webp","unsplash","google_places","9c35fd84102e3177c00ab9c9eb9767b03f5924c62100c9b53db60311ae9eceb7"
"Pavyllon London","https://images.unsplash.com/photo-1551218808-93d42e57582b?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","/images/restaurants/pavyllon-london-nD9nfpA0/french-pavyllon-london-card-285db3fc.webp","unsplash","google_places","736ca65f69764fc9875256d5dfbee16472ba85770de79b901f70a95544ebdf6a"
"La Trompette","https://images.unsplash.com/photo-1565299507177-b0ac66763828?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","/images/restaurants/la-trompette-MzysCr2Y/french-la-trompette-card-c9cd679f.webp","unsplash","google_places","2d1e346e7adbdfb74f5af68e126e880877842e1472ab00f64b78490af805dcf6"
"El Pirata Of Mayfair - Tapas Bar Español","https://images.unsplash.com/photo-1585937421612-70a008356fbe?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","/images/restaurants/el-pirata-of-mayfair-tapas-bar-espaol-AE3sr-lc/british-el-pirata-of-mayfair---tapas-bar-espaol-card-1ef6bd23.webp","unsplash","google_places","2007fe653adaed1dd980dfe589a0ce8fd2b423f30c2bc4e6ff095de859b66448"
